Subject,Same Day,Year,participant_id,Age,Gender,kbit_std_v,Delay,Day 1 PS object target,Day 1 PS location target,Day 1 PS animal target,Day 1 PC Ab target,Day 1 PC Bc target,Day 1 PC Ac target,Day 1 PC Cb target,Day 1 PC Cb lure,Day 1 PC Ba target,Day 1 PC Ca target,Day 2 PS object target,Day 2 PS location target,Day 2 PS animal target,Day 2 PS animal lure,Day 2 PS animal foil,Day 2 PC Ab target,Day 2 PC Bc target,Day 2 PC Ac target,Day 2 PC Cb target,Day 2 PC Ba target,Day 2 PC Ca target,Day 1 PS animal lure,Day 1 PC Ab lure,Day 1 PS object foil,Day 1 PS location foil,Day 2 PS object lure,Day 2 PS location foil,Day 2 PC Ab lure,Day 2 PC Bc lure,Day 2 PC Ac lure,Day 2 PC Cb lure,Day 2 PC Ba lure,Day 2 PC Ca lure,Day 1 PS location lure,Day 1 PC Bc lure,Day 1 PC Ac lure,Day 1 PC Ba lure,Day 1 PC Ca lure,Day 2 PS object foil,Day 2 PS location lure,Day 1 PS object lure,Day 1 PS animal foil
MDEM080,True,1,MDEM080,4.0,Girl,110.0,False,8,2,9,4,2,5,2,7,2,6,8,6,7,0,2,7,2,5,3,3,7,0,5,0,4,1,2,2,7,4,6,6,2,3,7,4,7,3,0,1,1,0
MDEM081,True,1,MDEM081,5.12,Boy,114.0,False,8,9,8,7,7,9,7,2,8,8,9,8,6,2,1,6,7,9,4,6,8,1,2,0,0,0,1,3,2,0,5,3,1,0,2,0,1,1,0,0,1,0
MDEM082,True,1,MDEM082,4.95,Girl,113.0,False,9,6,4,6,5,9,8,1,6,9,7,7,6,2,1,5,4,7,5,5,7,4,3,0,0,2,2,4,5,2,4,4,2,3,4,0,3,0,0,0,0,1
MDEM083,True,1,MDEM083,5.07,Boy,111.0,False,6,7,9,8,8,8,9,0,9,9,7,7,8,0,1,6,6,5,5,3,5,0,1,1,1,2,1,3,3,4,4,6,4,1,1,1,0,0,0,1,2,0
MDEM084,True,1,MDEM084,7.51,Girl,132.0,True,5,5,3,4,2,7,1,8,1,3,4,4,7,1,1,4,5,2,4,3,3,1,5,3,4,1,3,5,4,7,5,6,6,0,7,2,8,6,4,2,1,5
MDEM085,True,1,MDEM085,7.9,Girl,126.0,False,9,9,8,8,7,9,9,0,8,9,9,9,9,0,0,8,9,9,8,7,8,0,1,0,0,0,0,1,0,0,1,2,1,0,2,0,1,0,0,0,0,1
MDEM086,True,1,MDEM086,6.06,Girl,99.0,False,9,8,9,9,9,9,9,0,8,9,9,9,9,0,0,8,9,8,8,9,9,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
MDEM087,True,1,MDEM087,5.05,Girl,99.0,False,7,9,9,8,3,4,8,1,9,9,8,2,9,0,0,4,3,3,4,4,3,0,1,0,0,1,3,5,6,6,5,5,6,0,6,5,0,0,0,4,2,0
MDEM088,True,1,MDEM088,7.62,Girl,111.0,False,8,9,8,9,9,9,9,0,9,9,8,9,8,1,0,9,7,8,7,8,8,1,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,1,0,1,0
MDEM089,True,1,MDEM089,5.22,Girl,125.0,True,7,9,9,4,6,7,7,2,7,8,7,9,9,0,0,4,6,5,5,8,5,0,5,0,0,2,0,5,3,4,4,1,4,0,3,2,2,1,0,0,2,0
MDEM090,True,1,MDEM090,7.12,Girl,110.0,False,3,6,8,6,8,9,7,2,8,8,9,7,8,1,0,6,8,7,4,8,9,1,3,3,2,0,2,3,1,2,5,1,0,1,1,0,1,1,0,0,3,0
MDEM091,True,1,MDEM091,7.13,Boy,111.0,False,7,9,8,8,7,9,8,1,9,9,6,7,6,1,2,7,9,5,4,7,7,1,1,0,0,2,0,2,0,4,5,2,2,0,2,0,0,0,1,2,2,0
MDEM092,True,1,MDEM092,5.54,Girl,114.0,True,5,6,5,1,2,5,5,4,2,3,1,2,2,2,5,0,5,1,3,0,5,2,8,3,1,1,4,9,4,8,6,9,4,2,7,4,7,6,7,3,1,2
MDEM093,True,1,MDEM093,6.49,Boy,84.0,False,7,6,6,4,3,7,4,5,3,9,8,6,6,1,2,5,3,8,8,3,6,1,5,0,1,1,1,4,6,1,1,6,3,2,6,2,6,0,0,2,2,2
MDEM094,True,1,MDEM094,4.44,Boy,,True,3,6,5,1,1,2,2,7,1,0,1,1,2,4,3,2,1,1,1,2,5,1,8,2,3,2,5,7,8,8,8,7,4,0,8,7,8,9,6,3,4,3
MDEM095,True,1,MDEM095,4.49,Boy,106.0,False,9,8,7,8,6,8,7,2,9,9,9,8,9,0,0,6,6,6,6,7,8,1,1,0,0,0,0,3,3,3,3,2,1,1,3,1,0,0,0,1,0,1
MDEM096,True,1,MDEM096,4.21,Boy,111.0,True,3,5,2,2,3,2,4,5,3,2,3,2,0,1,8,0,1,1,1,2,1,3,7,4,2,2,5,9,8,8,8,7,8,2,6,7,6,7,4,2,2,4
MDEM097,True,1,MDEM097,4.91,Boy,109.0,False,7,8,8,8,8,9,9,0,9,9,8,7,9,0,0,5,9,7,8,6,9,0,1,0,0,1,0,4,0,2,1,3,0,1,1,0,0,0,0,2,2,1
MDEM098,True,1,MDEM098,6.36,Girl,123.0,False,9,9,8,9,9,9,9,0,9,9,9,9,8,1,0,6,9,9,7,8,9,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0
MDEM099,True,1,MDEM099,4.3,Boy,100.0,True,3,1,5,2,1,4,3,6,3,3,2,2,2,3,4,4,2,2,2,3,2,2,7,3,4,1,5,5,7,7,7,6,7,4,8,5,6,6,6,2,3,2
