Subject,Same Day,Year,participant_id,Age,Gender,kbit_std_v,Delay,Day 1 PS object target,Day 1 PS location target,Day 1 PS animal target,Day 1 PC Ab target,Day 1 PC Bc target,Day 1 PC Ac target,Day 1 PC Cb target,Day 1 PC Cb lure,Day 1 PC Ba target,Day 1 PC Ca target,Day 2 PS object target,Day 2 PS location target,Day 2 PS animal target,Day 2 PS animal lure,Day 2 PS animal foil,Day 2 PC Ab target,Day 2 PC Bc target,Day 2 PC Ac target,Day 2 PC Cb target,Day 2 PC Ba target,Day 2 PC Ca target,Day 1 PS animal lure,Day 1 PC Ab lure,Day 1 PS object foil,Day 1 PS location foil,Day 2 PS object lure,Day 2 PS location foil,Day 2 PC Ab lure,Day 2 PC Bc lure,Day 2 PC Ac lure,Day 2 PC Cb lure,Day 2 PC Ba lure,Day 2 PC Ca lure,Day 1 PS location lure,Day 1 PC Bc lure,Day 1 PC Ac lure,Day 1 PC Ba lure,Day 1 PC Ca lure,Day 2 PS object foil,Day 2 PS location lure,Day 1 PS object lure,Day 1 PS animal foil
MDEM061,True,2,MDEM061,8.85,Boy,124.0,True,8,9,9,9,9,9,9,0,9,8,7,9,8,0,1,5,8,9,4,7,9,0,0,0,0,1,0,4,1,0,5,2,0,0,0,0,0,1,1,0,1,0
MDEM063,True,2,MDEM063,6.19,Girl,93.0,True,0,0,0,0,0,0,0,0,0,0,8,6,9,0,0,9,9,9,7,8,9,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0
MDEM064,True,2,MDEM064,7.74,Girl,125.0,True,9,7,8,8,9,9,8,1,9,9,8,8,9,0,0,7,9,9,6,9,8,0,1,0,2,0,0,2,0,0,3,0,1,0,0,0,0,0,1,1,0,1
MDEM065,True,2,MDEM065,6.09,Girl,104.0,True,5,5,4,3,3,8,4,5,5,6,4,3,1,1,7,4,2,3,3,8,4,4,6,3,3,0,4,5,7,6,6,1,5,1,6,1,4,3,5,2,1,1
MDEM066,True,2,MDEM066,8.4,Girl,130.0,True,9,9,9,5,8,9,9,0,9,9,9,6,9,0,0,4,9,7,3,8,9,0,4,0,0,0,1,5,0,2,6,1,0,0,1,0,0,0,0,2,0,0
MDEM067,True,2,MDEM067,8.18,Boy,122.0,True,6,9,9,6,5,7,5,4,9,8,7,6,9,0,0,8,9,9,7,9,9,0,3,1,0,1,1,1,0,0,2,0,0,0,4,2,0,1,1,2,2,0
MDEM068,True,2,MDEM068,8.18,Boy,108.0,True,8,8,9,9,7,9,9,0,9,9,8,9,9,0,0,9,8,9,4,8,9,0,0,0,1,0,0,0,1,0,5,1,0,0,2,0,0,0,1,0,1,0
MDEM070,True,2,MDEM070,7.0,Girl,95.0,True,6,8,8,5,6,8,8,1,7,8,6,5,9,0,0,5,7,9,7,7,9,0,4,2,1,2,3,4,2,0,2,2,0,0,3,1,2,1,1,1,1,1
MDEM071,True,2,MDEM071,7.0,Boy,93.0,True,7,9,7,9,7,9,7,2,9,9,6,6,7,0,2,8,9,9,6,8,9,0,0,2,0,1,1,1,0,0,3,1,0,0,2,0,0,0,2,2,0,2
MDEM072,True,2,MDEM072,6.92,Girl,122.0,True,7,9,9,7,9,9,9,0,8,9,8,8,9,0,0,8,9,9,5,7,9,0,2,0,0,0,1,1,0,0,4,2,0,0,0,0,1,0,1,0,2,0
MDEM075,True,2,MDEM075,8.55,Girl,122.0,True,9,9,9,9,9,9,9,0,9,9,9,9,9,0,0,7,8,7,8,8,9,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
MDEM076,True,2,MDEM076,5.56,Girl,114.0,True,8,9,9,2,3,9,6,3,6,8,7,8,8,0,1,5,8,7,3,4,8,0,7,0,0,1,0,4,1,2,6,5,1,0,6,0,3,1,1,1,1,0
MDEM078,True,2,MDEM078,8.34,Boy,129.0,True,9,7,9,9,9,9,9,0,9,9,8,9,9,0,0,7,9,9,7,9,9,0,0,0,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
MDEM081,True,2,MDEM081,6.12,Boy,122.0,True,4,8,8,5,6,7,5,4,5,7,4,7,6,2,1,0,3,4,4,2,4,1,4,3,0,2,0,9,6,5,5,7,5,1,3,2,4,2,3,2,2,0
MDEM082,True,2,MDEM082,5.91,Girl,110.0,True,7,6,8,5,5,9,4,5,4,9,7,9,9,0,0,7,9,7,7,8,9,0,4,1,1,2,0,2,0,2,2,1,0,2,4,0,5,0,0,0,1,1
MDEM083,True,2,MDEM083,6.08,Boy,108.0,True,6,6,8,8,7,8,9,0,9,8,4,8,7,0,2,2,6,4,4,4,4,0,1,1,1,3,0,7,3,5,5,5,5,2,2,1,0,1,2,1,2,1
MDEM084,True,2,MDEM084,8.51,Girl,125.0,True,9,8,9,6,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDEM085,True,2,MDEM085,8.93,Girl,128.0,True,6,9,9,7,8,8,9,0,9,8,9,9,9,0,0,5,9,7,7,7,7,0,2,1,0,0,0,4,0,2,2,2,2,0,1,1,0,1,0,0,2,0
MDEM086,True,2,MDEM086,7.11,Girl,105.0,True,5,9,8,6,7,5,6,3,6,6,5,8,7,2,0,1,5,4,3,1,6,0,3,2,0,3,0,8,4,5,6,8,3,0,2,4,3,3,1,1,2,1
MDEM087,True,2,MDEM087,6.08,Girl,107.0,True,8,7,9,9,6,6,4,5,8,1,7,5,7,1,1,2,1,5,4,2,3,0,0,0,0,1,1,7,8,4,5,7,6,2,3,3,1,8,1,3,1,0
MDEM088,True,2,MDEM088,8.63,Boy,105.0,True,8,9,8,9,8,9,9,0,9,8,7,8,8,0,1,6,9,9,5,7,9,0,0,0,0,0,1,3,0,0,4,2,0,0,1,0,0,1,2,0,1,1
MDEM090,True,2,MDEM090,8.12,Girl,123.0,True,3,7,6,3,4,8,5,4,6,7,3,5,6,1,2,6,4,6,3,4,7,1,6,3,1,1,0,3,5,3,6,5,2,1,5,1,3,2,5,4,3,2
MDEM093,True,2,MDEM093,7.51,Boy,102.0,True,3,3,5,0,1,6,1,8,3,1,2,3,6,0,3,2,2,6,4,3,0,2,9,3,3,0,3,7,7,3,5,6,9,3,8,3,6,8,7,3,3,2
MDEM094,True,2,MDEM094,5.43,Boy,126.0,True,7,9,8,3,3,4,3,6,4,6,6,5,5,2,2,3,6,7,2,2,5,0,6,1,0,1,2,6,3,2,7,7,4,0,6,5,5,3,2,2,1,1
MDEM096,True,2,MDEM096,5.2,Boy,116.0,True,8,9,6,4,5,7,7,2,8,8,8,8,9,0,0,5,7,9,2,8,9,0,5,1,0,1,0,4,2,0,7,1,0,0,4,2,1,1,0,1,0,3
MDEM097,True,2,MDEM097,6.0,Boy,110.0,True,3,7,8,3,5,8,6,3,7,8,6,3,7,1,1,4,5,1,4,2,4,1,6,1,0,2,1,5,4,8,5,7,5,2,4,1,2,1,1,5,5,0
MDEM098,True,2,MDEM098,7.36,Girl,133.0,True,9,6,9,8,9,9,9,0,9,9,9,9,9,0,0,9,9,9,6,8,9,0,1,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0
MDEM100,True,2,MDEM100,5.07,Boy,116.0,True,5,7,9,6,7,7,4,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,1,0
MDEM102,True,2,MDEM102,7.97,Girl,99.0,True,9,9,9,7,9,9,8,1,9,8,8,9,8,1,0,5,6,6,3,6,8,0,2,0,0,1,0,4,3,3,6,3,1,0,0,0,0,1,0,0,0,0
MDEM103,True,2,MDEM103,0.57,Girl,114.0,True,6,8,6,7,4,9,3,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,3
MDEM104,True,2,MDEM104,5.64,Girl,123.0,True,7,8,9,5,6,8,9,0,8,7,7,8,6,2,1,7,8,6,5,9,9,0,4,0,0,1,1,2,1,3,4,0,0,1,3,1,1,2,1,0,2,0
MDEM105,True,2,MDEM105,5.38,Girl,119.0,True,2,0,6,0,3,3,0,9,3,2,3,3,4,0,5,1,1,2,2,3,4,0,9,5,6,0,5,8,8,7,7,6,5,3,6,6,6,7,6,1,2,3
MDEM106,True,2,MDEM106,7.96,Girl,121.0,True,5,6,8,5,4,7,7,2,6,8,5,9,6,1,2,4,7,5,1,5,9,0,4,1,3,1,0,5,2,4,8,4,0,0,5,2,3,1,3,0,3,1
MDEM110,True,2,MDEM110,5.94,Girl,123.0,True,8,8,9,8,9,9,9,0,9,9,6,7,9,0,0,9,9,9,7,9,9,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,2,1,0
MDEM117,True,2,MDEM117,8.47,Girl,,True,7,9,8,4,7,8,9,0,8,8,9,9,7,0,2,5,9,8,4,6,9,0,5,0,0,0,0,4,0,1,5,3,0,0,2,1,1,1,0,0,2,1
MDEM052,True,3,MDEM052,8.88,Girl,,True,7,8,9,7,9,9,9,0,9,9,9,9,9,0,0,8,9,8,6,8,9,0,2,0,0,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,2,0
MDEM053,True,3,MDEM053,8.93,Girl,123.0,True,9,9,9,9,9,9,8,1,9,9,9,8,9,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MDEM054,True,3,MDEM054,6.54,Boy,117.0,True,7,8,7,7,6,8,9,0,9,8,6,6,7,0,2,3,5,3,3,5,4,2,2,0,1,1,2,6,4,6,6,4,5,0,3,1,0,1,2,1,2,0
MDEM055,True,3,MDEM055,8.91,Girl,135.0,True,9,9,9,6,9,9,9,0,9,9,8,8,9,0,0,7,9,9,8,8,8,0,3,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0
